Date,ES=F
2000-09-18,1467.5
2000-09-19,1478.5
2000-09-20,1469.5
2000-09-21,1469.5
2000-09-22,1468.5
2000-09-25,1461.0
2000-09-26,1443.0
2000-09-27,1446.75
2000-09-28,1476.0
2000-09-29,1454.0
2000-10-02,1456.25
2000-10-03,1441.5
2000-10-04,1450.25
2000-10-05,1456.0
2000-10-06,1426.25
2000-10-09,1416.5
2000-10-10,1391.0
2000-10-11,1378.5
2000-10-12,1344.0
2000-10-13,1386.25
2000-10-16,1392.0
2000-10-17,1359.75
2000-10-18,1353.75
2000-10-19,1401.75
2000-10-20,1411.0
2000-10-23,1417.0
2000-10-24,1404.25
2000-10-25,1374.0
2000-10-26,1371.0
2000-10-27,1401.0
2000-10-30,1411.25
2000-10-31,1440.75
2000-11-01,1432.5
2000-11-02,1435.0
2000-11-03,1436.75
2000-11-06,1445.5
2000-11-07,1444.0
2000-11-08,1412.0
2000-11-09,1403.5
2000-11-10,1372.25
2000-11-13,1358.75
2000-11-14,1394.0
2000-11-15,1397.5
2000-11-16,1379.25
2000-11-17,1370.5
2000-11-20,1347.75
2000-11-21,1356.0
2000-11-22,1323.0
2000-11-24,1346.5
2000-11-27,1359.0
2000-11-28,1338.5
2000-11-29,1335.25
2000-11-30,1321.0
2000-12-01,1320.75
2000-12-04,1329.5
2000-12-05,1374.25
2000-12-06,1354.5
2000-12-07,1337.0
2000-12-08,1353.25
2000-12-11,1383.0
2000-12-12,1378.25
2000-12-13,1358.0
2000-12-14,1337.0
2000-12-15,1332.0
2000-12-18,1346.0
2000-12-19,1317.75
2000-12-20,1280.25
2000-12-21,1288.5
2000-12-22,1327.25
2000-12-26,1336.5
2000-12-27,1350.5
2000-12-28,1353.0
2000-12-29,1327.0
2001-01-02,1300.0
2001-01-03,1359.0
2001-01-04,1349.0
2001-01-05,1304.0
2001-01-08,1309.5
2001-01-09,1308.75
2001-01-10,1327.0
2001-01-11,1335.0
2001-01-12,1330.0
2001-01-16,1335.25
2001-01-17,1341.5
2001-01-18,1356.0
2001-01-19,1348.5
2001-01-22,1358.0
2001-01-23,1366.0
2001-01-24,1370.25
2001-01-25,1365.0
2001-01-26,1363.25
2001-01-29,1370.0
2001-01-30,1382.75
2001-01-31,1373.5
2001-02-01,1382.5
2001-02-02,1353.25
2001-02-05,1362.0
2001-02-06,1356.25
2001-02-07,1349.5
2001-02-08,1335.25
2001-02-09,1321.0
2001-02-12,1333.75
2001-02-13,1326.0
2001-02-14,1319.75
2001-02-15,1333.0
2001-02-16,1305.0
2001-02-20,1285.25
2001-02-21,1256.5
2001-02-22,1257.25
2001-02-23,1247.5
2001-02-26,1273.25
2001-02-27,1264.0
2001-02-28,1242.0
2001-03-01,1243.5
2001-03-02,1234.0
2001-03-05,1243.75
2001-03-06,1256.75
2001-03-07,1265.75
2001-03-08,1265.5
2001-03-09,1231.75
2001-03-12,1178.0
2001-03-13,1196.5
2001-03-14,1167.0
2001-03-15,1171.25
2001-03-16,1169.75
2001-03-19,1180.5
2001-03-20,1152.5
2001-03-21,1132.75
2001-03-22,1119.0
2001-03-23,1153.25
2001-03-26,1166.5
2001-03-27,1189.75
2001-03-28,1159.5
2001-03-29,1161.5
2001-03-30,1174.0
2001-04-02,1149.75
2001-04-03,1108.5
2001-04-04,1112.5
2001-04-05,1155.0
2001-04-06,1140.5
2001-04-09,1150.25
2001-04-10,1172.0
