Date,NQ=F
2000-09-18,3653.5
2000-09-19,3804.0
2000-09-20,3853.0
2000-09-21,3765.0
2000-09-22,3776.0
2000-09-25,3675.0
2000-09-26,3611.5
2000-09-27,3645.0
2000-09-28,3758.0
2000-09-29,3621.0
2000-10-02,3528.5
2000-10-03,3397.0
2000-10-04,3477.5
2000-10-05,3482.5
2000-10-06,3357.5
2000-10-09,3349.5
2000-10-10,3160.0
2000-10-11,3124.5
2000-10-12,3046.5
2000-10-13,3270.5
2000-10-16,3316.0
2000-10-17,3170.0
2000-10-18,3155.0
2000-10-19,3447.0
2000-10-20,3499.5
2000-10-23,3471.0
2000-10-24,3342.5
2000-10-25,3151.5
2000-10-26,3227.5
2000-10-27,3222.5
2000-10-30,3107.5
2000-10-31,3298.0
2000-11-01,3267.5
2000-11-02,3316.5
2000-11-03,3353.0
2000-11-06,3331.0
2000-11-07,3314.0
2000-11-08,3061.0
2000-11-09,3058.0
2000-11-10,2893.0
2000-11-13,2829.0
2000-11-14,3057.5
2000-11-15,3116.5
2000-11-16,2939.0
2000-11-17,2939.5
2000-11-20,2816.0
2000-11-21,2807.5
2000-11-22,2682.5
2000-11-24,2829.0
2000-11-27,2796.5
2000-11-28,2637.5
2000-11-29,2530.0
2000-11-30,2530.0
2000-12-01,2572.5
2000-12-04,2557.5
2000-12-05,2840.0
2000-12-06,2737.5
2000-12-07,2669.0
2000-12-08,2740.5
2000-12-11,2984.5
2000-12-12,2867.5
2000-12-13,2744.0
2000-12-14,2624.0
2000-12-15,2583.280029296875
2000-12-18,2608.5
2000-12-19,2410.0
2000-12-20,2269.0
2000-12-21,2282.5
2000-12-22,2469.0
2000-12-26,2477.5
2000-12-27,2506.5
2000-12-28,2501.5
2000-12-29,2374.5
2001-01-02,2167.5
2001-01-03,2529.5
2001-01-04,2486.0
2001-01-05,2293.5
2001-01-08,2325.0
2001-01-09,2326.0
2001-01-10,2441.0
2001-01-11,2512.5
2001-01-12,2540.0
2001-01-16,2515.5
2001-01-17,2581.5
2001-01-18,2694.5
2001-01-19,2686.5
2001-01-22,2683.0
2001-01-23,2745.0
2001-01-24,2714.5
2001-01-25,2613.5
2001-01-26,2645.5
2001-01-29,2705.5
2001-01-30,2697.5
2001-01-31,2611.0
2001-02-01,2627.5
2001-02-02,2488.5
2001-02-05,2481.0
2001-02-06,2490.0
2001-02-07,2443.5
2001-02-08,2368.0
2001-02-09,2277.0
2001-02-12,2301.5
2001-02-13,2226.0
2001-02-14,2316.0
2001-02-15,2356.0
2001-02-16,2227.5
2001-02-20,2130.0
2001-02-21,2070.5
2001-02-22,2051.5
2001-02-23,2056.5
2001-02-26,2100.0
2001-02-27,1969.0
2001-02-28,1913.0
2001-03-01,1960.0
2001-03-02,1876.5
2001-03-05,1912.0
2001-03-06,1985.5
2001-03-07,1988.5
2001-03-08,1946.0
2001-03-09,1811.0
2001-03-12,1691.0
2001-03-13,1783.0
2001-03-14,1752.5
2001-03-15,1689.0
2001-03-16,1663.949951171875
2001-03-19,1756.5
2001-03-20,1637.0
2001-03-21,1636.0
2001-03-22,1720.0
2001-03-23,1734.0
2001-03-26,1698.5
2001-03-27,1753.5
2001-03-28,1610.0
2001-03-29,1580.0
2001-03-30,1588.0
2001-04-02,1517.0
2001-04-03,1405.0
2001-04-04,1379.5
2001-04-05,1514.5
2001-04-06,1467.0
2001-04-09,1499.5
2001-04-10,1611.0
2001-04-11,1658.0
2001-04-12,1730.0
2001-04-16,1628.0
2001-04-17,1672.5
2001-04-18,1839.5
2001-04-19,1953.5
2001-04-20,1953.5
2001-04-23,1819.0
2001-04-24,1791.0
2001-04-25,1824.0
2001-04-26,1774.0
2001-04-27,1823.0
2001-04-30,1866.5
2001-05-01,1939.0
2001-05-02,1974.0
2001-05-03,1885.5
2001-05-04,1940.5
2001-05-07,1903.0
2001-05-08,1942.5
2001-05-09,1876.0
2001-05-10,1842.5
2001-05-11,1834.5
2001-05-14,1808.0
2001-05-15,1817.5
2001-05-16,1897.0
2001-05-17,1925.5
2001-05-18,1934.0
2001-05-21,2052.0
2001-05-22,2048.5
2001-05-23,1958.0
2001-05-24,2003.0
2001-05-25,1968.5
2001-05-29,1856.5
2001-05-30,1785.5
2001-05-31,1798.5
2001-06-01,1851.5
2001-06-04,1842.0
2001-06-05,1923.0
2001-06-06,1908.0
2001-06-07,1956.0
2001-06-08,1902.5
2001-06-11,1850.5
2001-06-12,1842.0
2001-06-13,1788.5
2001-06-14,1692.5
2001-06-15,1678.010009765625
2001-06-18,1702.5
2001-06-19,1696.0
2001-06-20,1734.0
2001-06-21,1757.5
2001-06-22,1753.0
2001-06-25,1757.0
