Date,YM=F
2002-04-05,10290.0
2002-04-08,10268.0
2002-04-09,10222.0
2002-04-10,10383.0
2002-04-11,10170.0
2002-04-12,10194.0
2002-04-15,10093.0
2002-04-16,10304.0
2002-04-17,10228.0
2002-04-18,10175.0
2002-04-19,10252.0
2002-04-22,10135.0
2002-04-23,10095.0
2002-04-24,10020.0
2002-04-25,10042.0
2002-04-26,9865.0
2002-04-29,9818.0
2002-04-30,9930.0
2002-05-01,10070.0
2002-05-02,10090.0
2002-05-03,9986.0
2002-05-06,9790.0
2002-05-07,9800.0
2002-05-08,10115.0
2002-05-09,10033.0
2002-05-10,9930.0
2002-05-13,10105.0
2002-05-14,10291.0
2002-05-15,10265.0
2002-05-16,10293.0
2002-05-17,10337.0
2002-05-20,10240.0
2002-05-21,10123.0
2002-05-22,10152.0
2002-05-23,10220.0
2002-05-24,10093.0
2002-05-28,10003.0
2002-05-29,9925.0
2002-05-30,9921.0
2002-05-31,9905.0
2002-06-03,9683.0
2002-06-04,9700.0
2002-06-05,9805.0
2002-06-06,9630.0
2002-06-07,9590.0
2002-06-10,9654.0
2002-06-11,9525.0
2002-06-12,9622.0
2002-06-13,9514.0
2002-06-14,9480.0
2002-06-17,9681.0
2002-06-18,9756.0
2002-06-19,9563.0
2002-06-20,9423.0
2002-06-21,9267.0
2002-06-24,9310.0
2002-06-25,9105.0
2002-06-26,9115.0
2002-06-27,9266.0
2002-06-28,9230.0
2002-07-01,9096.0
2002-07-02,9010.0
2002-07-03,9047.0
2002-07-05,9392.0
2002-07-08,9278.0
2002-07-09,9098.0
2002-07-10,8795.0
2002-07-11,8797.0
2002-07-12,8648.0
2002-07-15,8662.0
2002-07-16,8473.0
2002-07-17,8525.0
2002-07-18,8365.0
2002-07-19,7998.0
2002-07-22,7785.0
2002-07-23,7698.0
2002-07-24,8205.0
2002-07-25,8170.0
2002-07-26,8267.0
2002-07-29,8665.0
2002-07-30,8694.0
2002-07-31,8705.0
2002-08-01,8478.0
2002-08-02,8300.0
2002-08-05,8037.0
2002-08-06,8285.0
2002-08-07,8440.0
2002-08-08,8695.0
2002-08-09,8725.0
2002-08-12,8670.0
2002-08-13,8480.0
2002-08-14,8720.0
2002-08-15,8807.0
2002-08-16,8765.0
2002-08-19,8967.0
2002-08-20,8885.0
2002-08-21,8975.0
2002-08-22,9040.0
2002-08-23,8868.0
2002-08-26,8910.0
2002-08-27,8835.0
2002-08-28,8682.0
2002-08-29,8653.0
2002-08-30,8633.0
2002-09-03,8298.0
2002-09-04,8390.0
2002-09-05,8313.0
2002-09-06,8433.0
2002-09-09,8492.0
2002-09-10,8620.0
2002-09-11,8552.0
2002-09-12,8393.0
2002-09-13,8327.0
2002-09-16,8392.0
2002-09-17,8195.0
2002-09-18,8111.0
2002-09-19,7931.0
2002-09-20,7945.0
2002-09-23,7865.0
2002-09-24,7678.0
2002-09-25,7847.0
2002-09-26,7952.0
2002-09-27,7663.0
2002-09-30,7570.0
2002-10-01,7972.0
2002-10-02,7765.0
2002-10-03,7708.0
2002-10-04,7550.0
2002-10-07,7443.0
2002-10-08,7510.0
2002-10-09,7280.0
2002-10-10,7505.0
2002-10-11,7862.0
2002-10-14,7858.0
2002-10-15,8252.0
2002-10-16,8038.0
2002-10-17,8255.0
2002-10-18,8295.0
2002-10-21,8515.0
2002-10-22,8445.0
2002-10-23,8492.0
2002-10-24,8275.0
2002-10-25,8440.0
2002-10-28,8378.0
2002-10-29,8346.0
2002-10-30,8410.0
2002-10-31,8350.0
2002-11-01,8490.0
2002-11-04,8542.0
2002-11-05,8648.0
2002-11-06,8767.0
2002-11-07,8574.0
2002-11-08,8495.0
2002-11-11,8355.0
2002-11-12,8397.0
2002-11-13,8425.0
2002-11-14,8520.0
2002-11-15,8566.0
2002-11-18,8480.0
2002-11-19,8485.0
2002-11-20,8672.0
2002-11-21,8859.0
2002-11-22,8796.0
2002-11-25,8827.0
2002-11-26,8665.0
2002-11-27,8927.0
2002-11-29,8870.0
2002-12-02,8870.0
2002-12-03,8765.0
2002-12-04,8743.0
2002-12-05,8640.0
2002-12-06,8657.0
2002-12-09,8453.0
2002-12-10,8555.0
2002-12-11,8570.0
2002-12-12,8541.0
2002-12-13,8416.0
2002-12-16,8633.0
2002-12-17,8535.0
2002-12-18,8454.0
2002-12-19,8375.0
2002-12-20,8375.0
2002-12-23,8490.0
2002-12-24,8430.0
2002-12-26,8435.0
2002-12-27,8270.0
2002-12-30,8307.0
2002-12-31,8331.0
2003-01-02,8591.0
2003-01-03,8604.0
2003-01-06,8737.0
2003-01-07,8750.0
2003-01-08,8583.0
2003-01-09,8741.0
2003-01-10,8767.0
2003-01-13,8777.0
2003-01-14,8810.0
2003-01-15,8731.0
2003-01-16,8700.0
2003-01-17,8583.0
2003-01-21,8435.0
2003-01-22,8300.0
2003-01-23,8320.0
2003-01-24,8113.0
2003-01-27,7983.0
2003-01-28,8045.0
2003-01-29,8074.0
2003-01-30,7900.0
2003-01-31,8047.0
2003-02-03,8077.0
2003-02-04,8020.0
2003-02-05,7980.0
2003-02-06,7940.0
2003-02-07,7853.0
2003-02-10,7909.0
2003-02-11,7839.0
2003-02-12,7735.0
2003-02-13,7760.0
2003-02-14,7925.0
2003-02-18,8047.0
2003-02-19,8013.0
2003-02-20,7925.0
2003-02-21,8000.0
2003-02-24,7860.0
2003-02-25,7920.0
2003-02-26,7810.0
2003-02-27,7892.0
2003-02-28,7920.0
2003-03-03,7843.0
2003-03-04,7712.0
2003-03-05,7767.0
2003-03-06,7675.0
2003-03-07,7735.0
2003-03-10,7560.0
2003-03-11,7519.0
2003-03-12,7561.0
2003-03-13,7829.0
2003-03-14,7876.0
2003-03-17,8127.0
2003-03-18,8196.0
2003-03-19,8267.0
2003-03-20,8289.0
2003-03-21,8289.0
2003-03-24,8190.0
2003-03-25,8242.0
2003-03-26,8198.0
2003-03-27,8170.0
2003-03-28,8120.0
2003-03-31,7940.0
2003-04-01,8040.0
2003-04-02,8242.0
2003-04-03,8198.0
2003-04-04,8250.0
2003-04-07,8254.0
2003-04-08,8282.0
2003-04-09,8180.0
2003-04-10,8204.0
2003-04-11,8178.0
2003-04-14,8342.0
2003-04-15,8400.0
2003-04-16,8228.0
2003-04-17,8310.0
2003-04-21,8325.0
2003-04-22,8461.0
2003-04-23,8491.0
