Date,ZB=F
2000-09-21,98.46875
2000-09-22,98.125
2000-09-25,98.375
2000-09-26,98.84375
2000-09-27,98.375
2000-09-28,98.5625
2000-09-29,98.625
2000-10-02,98.1875
2000-10-03,97.90625
2000-10-04,97.875
2000-10-05,98.375
2000-10-06,99.09375
2000-10-09,98.875
2000-10-10,99.375
2000-10-11,99.25
2000-10-12,99.53125
2000-10-13,99.4375
2000-10-16,99.375
2000-10-17,100.03130340576172
2000-10-18,100.0
2000-10-19,100.3125
2000-10-20,100.65630340576172
2000-10-23,101.21880340576172
2000-10-24,100.8125
2000-10-25,100.34380340576172
2000-10-26,100.5
2000-10-27,100.4375
2000-10-30,100.25
2000-10-31,99.78125
2000-11-01,100.03130340576172
2000-11-02,99.9375
2000-11-03,99.09375
2000-11-06,98.75
2000-11-07,98.78125
2000-11-08,99.125
2000-11-09,99.28125
2000-11-10,99.3125
2000-11-13,99.65625
2000-11-14,99.96875
2000-11-15,100.4375
2000-11-16,100.8125
2000-11-17,100.375
2000-11-20,100.5625
2000-11-21,100.875
2000-11-22,101.8125
2000-11-24,101.53130340576172
2000-11-27,101.28130340576172
2000-11-28,101.5
2000-11-29,101.9375
2000-11-30,102.3125
2000-12-01,102.09380340576172
2000-12-04,101.65630340576172
2000-12-05,102.71880340576172
2000-12-06,103.71880340576172
2000-12-07,103.6875
2000-12-08,103.65630340576172
2000-12-11,103.375
2000-12-12,103.4375
2000-12-13,104.21880340576172
2000-12-14,104.53130340576172
2000-12-15,104.53130340576172
2000-12-18,104.5
2000-12-19,104.21880340576172
2000-12-20,105.40630340576172
2000-12-21,105.28130340576172
2000-12-22,105.40630340576172
2000-12-26,105.375
2000-12-27,104.71880340576172
2000-12-28,104.71880340576172
2000-12-29,104.6875
2001-01-02,106.34380340576172
2001-01-03,104.15630340576172
2001-01-04,104.96880340576172
2001-01-05,105.8125
2001-01-08,105.34380340576172
2001-01-09,105.28130340576172
2001-01-10,104.34380340576172
2001-01-11,103.84380340576172
2001-01-12,102.96880340576172
2001-01-16,103.21880340576172
2001-01-17,104.03130340576172
2001-01-18,104.53130340576172
2001-01-19,103.6875
2001-01-22,103.25
2001-01-23,102.59380340576172
2001-01-24,102.5
2001-01-25,103.1875
2001-01-26,102.75
2001-01-29,102.375
2001-01-30,103.40630340576172
2001-01-31,104.375
2001-02-01,104.875
2001-02-02,104.3125
2001-02-05,104.59380340576172
2001-02-06,104.5
2001-02-07,104.15630340576172
