Tail,Expiry,Vol
1y,1m,94.1
1y,3m,99.7
1y,6m,111.9
1y,1y,121.0
1y,2y,125.7
1y,3y,122.2
1y,4y,118.2
1y,5y,115.0
1y,7y,106.2
1y,10y,92.4
2y,1m,114.0
2y,3m,119.7
2y,6m,123.4
2y,1y,124.2
2y,2y,124.2
2y,3y,120.5
2y,4y,116.4
2y,5y,113.2
2y,7y,103.7
2y,10y,90.1
3y,1m,119.1
3y,3m,123.7
3y,6m,124.6
3y,1y,124.0
3y,2y,122.5
3y,3y,118.2
3y,4y,114.0
3y,5y,110.2
3y,7y,101.0
3y,10y,88.0
5y,1m,122.7
5y,3m,125.9
5y,6m,125.8
5y,1y,123.5
5y,2y,119.5
5y,3y,114.9
5y,4y,110.0
5y,5y,105.8
5y,7y,96.5
5y,10y,83.5
7y,1m,118.0
7y,3m,121.0
7y,6m,120.9
7y,1y,119.4
7y,2y,115.0
7y,3y,111.1
7y,4y,106.4
7y,5y,101.9
7y,7y,93.3
7y,10y,80.6
10y,1m,110.6
10y,3m,113.8
10y,6m,113.7
10y,1y,112.9
10y,2y,109.0
10y,3y,105.2
10y,4y,100.8
10y,5y,96.9
10y,7y,88.4
10y,10y,75.8
15y,1m,99.8
15y,3m,102.3
15y,6m,102.6
15y,1y,101.3
15y,2y,97.5
15y,3y,94.2
15y,4y,89.4
15y,5y,85.2
15y,7y,77.9
15y,10y,66.8
20y,1m,92.8
20y,3m,95.0
20y,6m,95.3
20y,1y,94.3
20y,2y,91.0
20y,3y,87.4
20y,4y,82.3
20y,5y,78.7
20y,7y,71.5
20y,10y,61.5
30y,1m,85.5
30y,3m,88.9
30y,6m,89.9
30y,1y,89.5
30y,2y,85.7
30y,3y,81.6
30y,4y,77.8
30y,5y,73.5
30y,7y,67.1
30y,10y,58.1
